Category,Message,text_length,clean_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,29,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
ham,U dun say so early hor... U c already then say...,49,u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",61,nah dont think goes usf lives around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send £ rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,even brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,winner valued network customer selected receivea £ prize reward claim call claim code kl valid hours
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,urgent week free membership £ prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),26,oh kim watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,eh u remember spell name yes v naughty make v wet
ham,Fine if thats the way u feel. Thats the way its gota b,56,fine thats way u feel thats way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtú poboxoxwwq
ham,Is that seriously how you spell his name?,41,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,47,i‘m going try months ha ha joking
ham,So ü pay first lar... Then when is da stock comin...,52,ü pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,aft finish lunch go str lor ard smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
ham,Lol your always so convincing.,30,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,catch bus frying egg make tea eating moms left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,im back amp packing car ill let know theres room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,wait thats still clear sure sarcastic thats x doesnt want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,188,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
ham,K tell me anything about you.,29,k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,thanks subscription ringtone uk mobile charged £month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,yup ok go home look timings msg ü xuhui going learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",47,oops ill let know roommates done
ham,I see the letter B on my car,28,see letter b car
ham,Anything lor... U decide...,27,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,hello hows saturday go texting see youd decided anything tomo im trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,pls go ahead watts wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,19,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,great hope like man well endowed ltgt inches
ham,No calls..messages..missed calls,32,callsmessagesmissed calls
ham,Didn't you get hep b immunisation in nigeria.,45,didnt get hep b immunisation nigeria
ham,"Fair enough, anything going on?",31,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,yeah hopefully tyler cant could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
ham,What you thinked about me. First time you saw me in class.,58,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,k fyi x ride early tomorrow morning hes crashing place tonight
